number,value,datetime_start,datetime_complete,duration,params_attn_heads,params_batch_size,params_cnn_channels,params_drop_cls,params_drop_cnn,params_drop_lstm,params_fc_hidden,params_grad_clip,params_label_smoothing,params_lr,params_lstm_hidden,params_lstm_layers,params_weight_decay,state
63,11.352587932513583,2026-03-21 01:59:24.486153,2026-03-21 02:02:51.935135,0 days 00:03:27.448982,4,64,256,0.25106013247586906,0.15710324029549785,0.3747915242547586,256,1.4708254641289664,0.1020287991421803,0.0008587471585030232,64,1,1.7818190279347325e-06,COMPLETE
64,1.4297969688304262,2026-03-21 02:02:51.953137,2026-03-21 02:03:54.039001,0 days 00:01:02.085864,4,64,128,0.2503225247040618,0.1453592921940812,0.37550182073090455,256,1.738380733327473,0.1050306132697985,0.000509907504297902,64,1,1.7450242211801816e-06,PRUNED
65,5.947955390334572,2026-03-21 02:03:54.058008,2026-03-21 02:06:08.053224,0 days 00:02:13.995216,4,64,256,0.2687200963736322,0.1548538524047434,0.4268432639953823,256,1.1173468715349322,0.0931238442649176,0.001968308005008512,64,1,2.1912202608025647e-06,PRUNED
66,1.4297969688304262,2026-03-21 02:06:08.071151,2026-03-21 02:07:09.913402,0 days 00:01:01.842251,4,32,256,0.23703418221531086,0.28971335956080885,0.25258376598751087,256,1.4734452681518142,0.08432820001707327,0.00037020024956235375,64,1,5.500520019854849e-06,PRUNED
67,0.5433228481555619,2026-03-21 02:07:09.931402,2026-03-21 02:08:11.603427,0 days 00:01:01.672025,4,64,256,0.20667309138822362,0.12195941347665816,0.31684421312953953,64,0.8513848791079527,0.11472584286417886,0.0027871257341462135,64,1,4.804228990322953e-06,PRUNED
68,10.83786102373463,2026-03-21 02:08:11.621940,2026-03-21 02:11:36.412251,0 days 00:03:24.790311,8,64,256,0.2535830225990651,0.25082745676423535,0.3011163262437906,256,1.3464874608520199,0.09735495408192849,0.0011691567747361567,64,1,3.0195724069142466e-06,COMPLETE
69,0.5719187875321704,2026-03-21 02:11:36.430259,2026-03-21 02:12:44.957224,0 days 00:01:08.526965,2,32,128,0.3099186087768442,0.06843828772419486,0.4554782835065775,256,1.3802656739915142,0.1424903544014175,0.0012792451284349736,256,1,1.3616196025961214e-06,PRUNED
70,9.66542750929368,2026-03-21 02:12:44.976430,2026-03-21 02:16:11.440231,0 days 00:03:26.463801,8,64,256,0.2812595155742673,0.24924626683364282,0.279102997909057,256,1.3360337200252148,0.09951966476141809,0.0017826844292355834,64,1,7.139372658021064e-06,COMPLETE
71,10.466113811838719,2026-03-21 02:16:11.458738,2026-03-21 02:19:38.132577,0 days 00:03:26.673839,8,64,256,0.23085023849009215,0.26351898802133433,0.2956075955619604,256,1.0269880384495966,0.1254349713148387,0.0009792743558766398,64,1,2.967962447004581e-06,COMPLETE
72,2.030311695739205,2026-03-21 02:19:38.151584,2026-03-21 02:20:49.490965,0 days 00:01:11.339381,8,64,256,0.25827048523031515,0.263650110311309,0.29576698427808046,256,1.1960284356534154,0.1352072570746618,0.000948609920455358,64,1,3.368296209575505e-06,PRUNED
